ID_Cliente,ID_Produto,Nota,Data_Avaliacao,Comentario
99,24,3,2022-11-26,Ruim
26,16,4,2023-04-22,Excelente
8,17,2,2023-03-29,Péssimo
100,26,1,2023-03-29,Regular
94,27,5,2023-11-23,Ruim
87,5,3,2022-08-07,Ruim
42,4,2,2023-06-08,Péssimo
44,18,4,2023-04-30,Bom
14,24,4,2024-03-23,Regular
78,19,4,2024-07-11,Ruim
2,4,3,2024-09-09,Regular
37,28,3,2024-03-26,Ruim
69,7,3,2024-01-24,Regular
38,10,2,2022-06-23,Excelente
41,25,4,2023-11-06,Ruim
62,18,5,2022-03-28,Regular
60,19,5,2022-10-18,Bom
14,4,5,2023-06-12,Excelente
89,10,4,2023-11-11,Excelente
84,1,4,2023-10-11,Bom
2,23,3,2023-09-27,Regular
70,18,4,2022-12-10,Péssimo
17,5,4,2022-04-06,Bom
89,15,2,2024-04-18,Regular
28,17,3,2024-09-01,Bom
66,3,5,2024-02-09,Bom
35,12,3,2022-08-29,Ruim
5,2,2,2023-11-20,Regular
65,1,4,2022-11-14,Péssimo
40,23,5,2022-08-19,Ruim
76,21,4,2024-04-05,Bom
56,17,4,2022-07-23,Bom
36,22,2,2022-05-31,Bom
45,16,4,2022-01-26,Regular
23,5,3,2022-02-17,Regular
47,15,5,2022-09-08,Ruim
31,3,4,2023-05-02,Péssimo
11,28,2,2023-09-18,Ruim
10,7,1,2024-05-20,Excelente
67,11,1,2024-02-26,Bom
14,10,3,2022-03-16,Bom
80,9,3,2023-04-12,Bom
74,14,4,2023-03-01,Ruim
93,13,4,2024-06-26,Ruim
10,29,3,2023-10-07,Bom
76,25,2,2023-08-13,Ruim
94,30,2,2022-07-19,Regular
1,25,5,2024-01-06,Regular
5,2,3,2023-12-15,Ruim
20,3,4,2023-01-29,Bom
8,7,5,2023-05-22,Ruim
43,21,4,2023-02-14,Ruim
76,18,0,2022-09-07,Ruim
1,3,3,2022-06-01,Excelente
57,10,5,2023-11-03,Regular
64,22,2,2023-12-06,Péssimo
84,29,2,2022-01-06,Péssimo
28,7,4,2024-07-03,Excelente
37,9,5,2024-02-08,Ruim
47,17,5,2024-05-31,Excelente
76,11,1,2024-02-28,Excelente
37,7,0,2024-06-25,Bom
49,24,5,2022-04-20,Regular
44,28,3,2024-03-08,Péssimo
56,14,5,2023-03-12,Ruim
28,19,5,2022-08-13,Péssimo
79,4,4,2022-06-30,Péssimo
6,26,3,2024-04-03,Regular
61,6,4,2024-09-07,Péssimo
20,10,3,2023-12-14,Péssimo
78,7,5,2023-06-15,Excelente
2,13,4,2023-04-21,Regular
73,14,5,2022-02-21,Bom
37,4,2,2023-07-25,Ruim
20,8,5,2022-09-13,Péssimo
26,5,4,2024-07-28,Ruim
29,1,1,2024-05-18,Bom
1,4,1,2022-05-05,Ruim
35,3,5,2023-04-13,Bom
70,9,4,2022-05-17,Excelente
59,8,5,2024-03-31,Péssimo
69,1,2,2023-04-21,Bom
33,27,1,2023-11-15,Ruim
51,6,4,2023-06-28,Péssimo
78,9,3,2023-07-27,Excelente
12,7,4,2023-09-02,Péssimo
20,4,5,2022-11-21,Bom
53,13,5,2024-08-30,Excelente
88,17,5,2024-02-13,Ruim
43,28,5,2024-07-01,Excelente
98,2,3,2023-03-30,Excelente
89,28,4,2023-09-20,Regular
50,5,4,2024-04-14,Excelente
29,12,5,2024-01-07,Excelente
57,27,1,2024-07-02,Péssimo
39,21,4,2023-06-01,Ruim
95,8,1,2023-03-13,Péssimo
56,6,4,2024-04-30,Péssimo
43,8,5,2024-07-17,Bom
50,18,5,2023-07-16,Péssimo
23,3,3,2023-04-02,Regular
44,22,5,2024-07-07,Regular
38,12,4,2022-06-12,Bom
84,29,1,2024-02-01,Ruim
23,26,3,2024-06-01,Ruim
45,3,3,2023-05-02,Péssimo
52,22,1,2023-04-06,Péssimo
80,6,5,2022-09-23,Péssimo
50,2,4,2024-02-09,Ruim
8,23,5,2022-09-11,Excelente
85,12,3,2024-05-10,Regular
1,2,2,2023-10-15,Excelente
8,6,4,2022-10-11,Excelente
29,17,2,2024-02-24,Ruim
96,3,4,2024-03-07,Excelente
5,2,5,2023-06-18,Bom
86,23,4,2023-05-12,Péssimo
47,30,4,2023-10-04,Bom
34,20,2,2022-09-02,Regular
65,8,1,2022-10-09,Péssimo
55,22,2,2023-03-27,Excelente
90,12,4,2022-03-21,Regular
43,26,1,2024-01-01,Péssimo
74,4,3,2022-10-20,Excelente
30,5,0,2022-08-29,Bom
82,13,3,2022-10-06,Péssimo
17,29,2,2022-12-10,Excelente
26,15,3,2022-11-24,Bom
8,25,5,2024-07-03,Regular
47,23,4,2023-07-08,Regular
76,16,4,2022-03-24,Regular
91,10,1,2022-05-22,Regular
72,30,5,2022-06-04,Ruim
89,30,4,2022-08-25,Péssimo
46,25,3,2023-01-28,Péssimo
68,23,5,2023-12-12,Ruim
33,16,3,2022-06-06,Excelente
1,12,4,2023-12-25,Excelente
19,17,4,2022-08-08,Regular
31,16,3,2022-03-07,Bom
80,12,5,2023-03-01,Excelente
14,8,5,2023-02-22,Bom
53,20,4,2022-12-05,Péssimo
48,3,2,2023-07-10,Bom
69,16,1,2023-04-23,Péssimo
90,30,3,2023-03-02,Ruim
62,13,5,2022-03-05,Ruim
92,23,3,2022-07-31,Regular
66,28,4,2024-05-02,Excelente
64,19,5,2023-03-07,Regular
70,8,2,2023-02-03,Péssimo
63,22,4,2024-07-15,Regular
73,5,1,2024-02-28,Bom
33,20,5,2023-08-22,Péssimo
41,8,0,2024-08-26,Ruim
89,24,2,2023-12-14,Excelente
48,12,3,2022-01-21,Péssimo
13,1,4,2024-05-27,Péssimo
73,25,5,2024-06-20,Bom
77,30,5,2024-02-23,Excelente
31,21,4,2023-08-13,Ruim
75,20,2,2023-01-25,Péssimo
68,6,2,2023-05-04,Péssimo
98,22,1,2022-01-07,Bom
4,18,4,2024-08-23,Regular
19,8,5,2022-12-27,Ruim
70,7,4,2022-11-02,Excelente
98,1,2,2024-02-11,Péssimo
82,21,4,2023-02-04,Péssimo
13,16,5,2024-05-23,Ruim
23,12,5,2024-07-02,Regular
83,6,5,2024-09-03,Péssimo
75,20,3,2024-05-05,Ruim
1,2,2,2023-03-06,Bom
88,29,5,2023-07-06,Regular
54,14,4,2024-02-05,Excelente
71,4,3,2024-01-23,Péssimo
89,1,5,2023-07-14,Ruim
85,23,5,2024-03-30,Bom
15,18,4,2023-09-10,Excelente
65,13,4,2024-07-08,Ruim
76,2,3,2022-08-14,Ruim
71,9,4,2023-05-15,Excelente
15,21,4,2022-08-13,Bom
21,2,5,2022-10-07,Bom
19,27,5,2023-03-23,Regular
60,25,5,2023-05-13,Péssimo
93,9,1,2022-01-30,Excelente
89,1,5,2023-02-03,Excelente
33,11,5,2022-12-11,Excelente
49,3,4,2023-11-16,Bom
96,20,5,2023-11-27,Péssimo
35,30,5,2024-03-28,Regular
44,23,4,2023-02-19,Ruim
90,26,4,2024-01-12,Ruim
11,4,2,2022-06-19,Excelente
99,18,3,2024-05-10,Péssimo
72,23,4,2023-04-24,Bom
78,6,5,2024-07-30,Péssimo
74,3,3,2022-05-11,Péssimo
66,22,2,2023-09-30,Bom
46,11,4,2023-07-01,Excelente
9,15,1,2022-01-28,Péssimo
3,22,2,2024-07-17,Ruim
85,28,1,2023-02-08,Bom
26,5,2,2023-08-30,Regular
72,20,2,2023-08-01,Excelente
48,10,3,2023-11-10,Bom
66,12,4,2022-01-28,Regular
70,15,5,2022-03-27,Regular
28,17,4,2023-10-21,Péssimo
93,10,5,2023-03-15,Péssimo
26,6,2,2022-05-19,Péssimo
25,18,3,2024-06-06,Bom
12,13,5,2023-04-18,Bom
5,3,1,2022-07-06,Excelente
98,30,4,2022-02-21,Péssimo
48,24,4,2022-09-24,Regular
37,10,4,2023-01-24,Ruim
79,30,1,2022-12-02,Excelente
44,14,3,2022-08-05,Bom
100,6,4,2023-04-11,Excelente
15,3,2,2022-12-01,Excelente
43,16,4,2022-12-12,Excelente
48,7,5,2024-02-19,Excelente
87,20,5,2024-06-19,Ruim
70,14,3,2023-01-24,Péssimo
46,9,5,2022-10-12,Regular
43,15,4,2024-02-10,Excelente
21,21,3,2024-09-01,Excelente
23,3,2,2024-05-01,Excelente
80,2,5,2023-03-08,Péssimo
47,27,3,2022-09-16,Bom
15,2,3,2024-05-04,Bom
25,3,1,2022-03-25,Ruim
36,18,5,2023-04-27,Bom
75,14,5,2022-01-20,Excelente
51,20,5,2024-02-07,Excelente
15,18,3,2023-07-07,Excelente
68,10,2,2022-02-23,Ruim
21,25,4,2024-09-01,Excelente
13,2,4,2022-12-25,Bom
86,25,2,2022-08-18,Péssimo
19,29,4,2023-10-28,Péssimo
34,22,5,2022-03-12,Regular
78,1,5,2024-03-10,Bom
68,4,5,2024-09-07,Excelente
52,14,5,2023-10-30,Péssimo
27,1,3,2022-02-11,Bom
29,14,4,2024-02-12,Péssimo
28,16,5,2022-02-01,Excelente
35,22,2,2024-08-30,Péssimo
8,14,5,2022-09-11,Regular
16,29,4,2022-07-24,Regular
36,20,4,2024-05-09,Péssimo
30,3,4,2022-01-21,Bom
18,3,5,2023-09-29,Bom
2,9,5,2022-06-06,Bom
49,6,1,2022-09-02,Péssimo
77,25,5,2022-05-10,Bom
4,13,3,2023-04-30,Excelente
90,21,3,2023-11-17,Regular
89,2,4,2022-04-28,Excelente
94,8,4,2023-08-01,Bom
75,21,4,2024-08-28,Excelente
7,2,5,2022-08-12,Bom
95,4,5,2023-04-22,Péssimo
74,25,4,2023-12-18,Excelente
39,15,1,2022-09-20,Péssimo
13,4,5,2024-02-25,Péssimo
31,13,5,2023-01-13,Ruim
71,28,5,2022-06-21,Bom
63,12,1,2023-09-13,Regular
56,28,1,2023-09-14,Bom
42,13,3,2024-09-13,Regular
61,14,2,2024-02-05,Bom
42,20,3,2024-01-06,Péssimo
56,18,5,2022-04-28,Excelente
36,29,4,2024-03-07,Excelente
84,28,1,2024-04-18,Ruim
68,6,3,2022-06-17,Regular
7,29,1,2024-09-14,Regular
54,11,1,2022-11-15,Regular
1,30,3,2022-04-21,Péssimo
44,2,3,2023-08-16,Regular
45,28,5,2022-01-27,Excelente
47,23,5,2024-08-09,Péssimo
13,19,3,2022-11-16,Bom
22,19,4,2023-08-13,Regular
21,5,0,2023-11-25,Regular
86,19,3,2024-07-18,Bom
92,2,2,2024-09-08,Regular
9,10,5,2023-01-20,Bom
26,25,1,2023-02-11,Péssimo
9,2,4,2024-08-22,Excelente
15,30,4,2024-01-03,Bom
10,11,3,2022-07-23,Ruim
88,18,3,2022-03-19,Bom
42,29,5,2023-08-30,Regular
72,24,1,2023-12-09,Péssimo
